City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
543,Los Llanos De Aridane,ES,67.75,few clouds,28.6585,-17.9182,Valle Aridane
544,Olga,RU,67.14,overcast clouds,43.7444,135.2892,Gostinitsa Rosmorport.
546,Dwarka,IN,81.63,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
548,Daru,PG,78.49,broken clouds,-9.0763,143.2092,Daru Lodge
549,Natal,BR,75.42,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
550,Miyako,JP,76.66,overcast clouds,39.6367,141.9525,Hotel Route Inn Miyako
551,Marathon,US,78.33,broken clouds,44.9,-89.7668,
552,Tocache,PE,73.18,scattered clouds,-8.1842,-76.5125,Residencial JATER
553,Quelimane,MZ,69.75,few clouds,-17.8786,36.8883,Hotel Flamingo
555,Harper,LR,75.02,overcast clouds,4.375,-7.7169,Screensaver
558,Barra Do Garcas,BR,71.91,few clouds,-15.89,-52.2567,Pousada Tropical
560,Nagato,JP,81.21,overcast clouds,34.3833,131.2,いそう庵
561,Salalah,OM,75.29,drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
562,Tefe,BR,74.26,broken clouds,-3.3542,-64.7114,Aracati Hotel
565,Fayaoue,NC,77.29,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
566,Iwanai,JP,72.21,broken clouds,42.9744,140.5089,いわない高原ホテル
567,Camacha,PT,67.42,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
576,Kawalu,ID,71.46,broken clouds,-7.3817,108.2082,West Jontor
577,Nhulunbuy,AU,79.41,clear sky,-12.2333,136.7667,East Arnhem Real Estate
579,Hede,CN,77.22,broken clouds,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
582,Makaha,US,84.11,clear sky,21.4694,-158.2175,Hawaiian Princess Resort
583,Altamira,BR,80.08,overcast clouds,-3.2033,-52.2064,Requinte Hotel
585,Maraa,BR,73.65,broken clouds,-1.8333,-65.3667,
586,Nouadhibou,MR,67.87,few clouds,20.931,-17.0347,El Medina
587,Boyolangu,ID,74.1,overcast clouds,-8.1181,111.8935,Yos ega cv
590,Donskoye,RU,68.13,clear sky,45.4552,41.9741,
591,Itaituba,BR,80.17,overcast clouds,-4.2761,-55.9836,Hotel Campos
592,Tura,IN,74.26,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
594,Sungairaya,ID,79.16,broken clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
595,Negru Voda,RO,70.32,clear sky,43.8167,28.2,Clubul Pensionarilor
596,Saiha,IN,71.33,light rain,22.4833,92.9667,"Circuit House, Siaha"
